College,Degree,GradYear,AssignedGiftOfficer,Spouse,Email,PhoneNumber,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,TotalGiving,FY21,FY20,FY19,FY18,FY17
Seminary,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1744,1494,0,0,0,0
College for Women,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,236,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
College for Men,Bachelor of Arts,1955,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
Seminary,Bachelor of Arts,1955,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,210,0,200,0,10,0
College for Women,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,250,0,100,100,50,0
Seminary,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0
Seminary,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,360,0
College for Men,Bachelor of Arts,1955,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0
Seminary,Bachelor of Arts,1955,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,122,100
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,600
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2204,0,72,76,148,143
College for Men,Bachelor of Arts,1955,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20854,1000,1800,0,1000,1000
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22248,1000,250,1000,1000,1000
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,25520,1000,0,6000,0,6400
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,31299,1000,1000,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,58007,15000,6000,14275,5000,0
College for Women,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,216,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,598,0,200,0,50,0
Seminary,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1186,0,0,100,0,180
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17000,1000,2250,2000,1500,1500
College for Women,Bachelor of Arts,1955,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,891,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,18
College for Men,Bachelor of Arts,1955,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,0,0,0,0,18
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,20,0
College for Women,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,136,0,50,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,85
Seminary,Bachelor of Arts,1955,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,344,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
