College,Degree,50s,60s,70s,80s,90s,2000s,2010s,2020s,AssignedGiftOfficer,Spouse,Email,Phone Number,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,LifetimeGiving,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,FY13,FY12,FY11,FY10,FY09,FY08,FY07,FY06,FY05,FY04,FY03,FY02
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30512949,665433,707550,888568,368716,199952,486206,1275850,583750,1900350,5950000,2000000,3444000,3275000,3535000,1225000,1335000,55000,575000,552000,500038
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12657906,1000000,1000000,1000150,700000,408600,372500,600000,1147500,1030000,1036000,1023000,736000,1186200,969880,245100,200000,0,18,18,0
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,12559146,1314286,1314286,1097300,1100000,600000,604000,607500,627600,550000,643600,500000,402500,570000,225000,227500,230000,225000,250000,225000,1125
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,10504583,181539,210000,113529,458328,114000,273000,831125,1055000,711800,555000,655250,965250,793621,2247416,1065891,127500,113000,500,300,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8608955,250500,0,276100,162520,104300,260018,251800,1033423,1003600,1000000,600,1012500,20036,1078956,10608,1000,1108000,13720,6800,1000
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6835863,125000,160000,270000,260000,295000,284550,240000,236800,325000,225000,236175,185000,129175,434345,31800,331000,150500,295500,255600,790900
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6734570,500000,600000,600020,600000,461250,410450,410450,409761,460450,411139,410000,410450,350900,350000,25000,272000,15000,17500,10000,10000
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4672332,6800,150000,171390,150600,0,125000,0,154250,240720,1500,100000,450000,1000000,346700,100850,104300,123700,50600,49300,125250
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4085717,0,0,0,0,2500,2800,1000,0,2000,20000,5000,25000,28180,11774,237800,247500,258550,248250,38350,219700
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3887025,215000,160000,76000,50000,32500,45000,141600,203500,260000,1105000,327500,327500,335000,430000,65360,32500,16000,18500,10000,10350
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3760525,215000,60000,76000,50000,31000,45000,141600,178500,260000,1105000,327500,327500,335000,430000,65360,32500,16000,18500,10000,10350
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2582868,110000,132000,100000,299100,99550,99125,116390,49563,79563,198250,199600,218075,99125,100925,54000,7250,86000,10000,18300,166000
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2469570,0,0,0,10000,10000,11800,15000,11800,30400,2500,11800,700,18255,102629,110000,397371,219000,328000,259350,200000
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2332899,100000,100000,100000,76000,104511,52300,147750,301000,70000,51320,50680,62500,150650,40000,26900,36000,37550,30000,28680,36004
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1676720,450000,0,330000,200000,150000,50000,100000,251500,0,0,20,0,0,0,20400,0,0,0,50000,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1676720,450000,0,330000,200000,150000,50000,100000,251500,0,0,20,0,0,0,20400,0,0,0,50000,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1607701,100000,20000,100000,160500,185000,88600,85000,75750,60000,85000,60360,130000,26250,25000,25000,25000,50000,50118,50018,50018
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1575278,0,0,0,5000,41000,5000,5000,265000,0,285300,335000,210000,235378,25000,61000,100000,0,0,0,2500
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1439274,26800,25000,26000,30000,25000,10000,28600,6100,11800,10000,306041,1000,518435,250020,500,5000,0,21160,25000,500
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1426951,100000,20000,100000,100500,185000,88600,85000,75750,60000,85000,50360,20000,26250,25000,25000,25000,50000,50118,50018,50018
Seminary,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1372965,25000,24700,51600,50000,86000,17050,37125,26000,78880,27180,87660,36840,51875,17460,52400,44480,102030,32380,58175,60600
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1367065,0,0,0,0,0,10360,9100,12825,10000,10000,38650,773550,350000,20000,111000,1000,20000,0,100,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1348415,25000,24700,51600,50000,61000,17050,37125,26000,78880,27180,87660,36840,51875,17460,52850,44480,102030,32380,58175,60600
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1305831,108300,136800,136000,121800,150775,116654,118600,15350,122300,126800,121050,20572,2680,5000,2750,0,300,0,0,0
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1251960,0,200000,200000,150018,1000,51000,50000,125700,50000,100000,150000,0,50360,100000,0,1000,0,0,2500,3000
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1138600,800000,225000,70000,10000,13600,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,930252,50000,86000,55000,55000,236000,56000,55000,55000,51000,50000,50000,25000,25000,25000,25000,25500,0,0,600,1250
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,890330,2500,0,180,7600,6000,4100,3600,0,5000,5500,6000,2500,27500,30000,115000,187000,60000,0,25000,84100
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,885133,333857,125330,77070,101510,26885,25002,25701,20940,28656,5000,5207,0,5000,0,25424,16042,14745,11005,4943,15478
College for Women,Bachelor of Arts,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,874460,101000,151050,200,43700,66000,10500,10540,21500,30000,11000,17000,15000,35000,6000,20000,26000,27000,21000,20000,26000
Seminary,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,755986,80000,50500,56410,50250,51000,50000,53600,52500,53600,49050,54550,34265,25720,12520,37500,12500,15650,5000,5000,5180
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,737166,15000,6980,1800,26010,30105,18280,30000,61016,50100,33335,105460,40280,50930,54870,15000,27000,0,25000,21000,38000
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,705986,30000,50500,56410,50250,51000,50000,53600,52500,53600,49050,54550,34265,25720,12520,37500,12500,15650,5000,5000,5180
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,698472,0,0,0,280,1700,3580,1930,3570,1719,811,81272,1121760,2180,452,26222,500,25300,1250,1250,0
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,664110,76000,61000,55000,75000,85000,30360,57286,20000,60500,25350,37775,0,2500,0,360,5000,11000,3000,1000,6250
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,637310,76000,61000,55000,50000,85000,30360,57286,20000,60500,25350,37775,0,2500,0,360,5000,11000,3000,1000,6250
Seminary,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,634698,0,9450,21675,20000,24200,28500,23860,25465,15250,14035,47120,27780,3630,25280,26100,27050,1575,1300,24750,19000
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,634698,0,9450,21675,20000,24200,28500,23860,25465,15250,14035,47120,27780,3630,25280,26100,27050,1575,1300,24750,19000
Seminary,Bachelor of Arts,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,606654,40000,5000,5000,2500,33000,61500,47220,108694,25000,25000,26500,24000,11500,16000,7500,19000,15000,5000,0,26000
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,599660,2800,5100,50000,40000,50000,2010,50000,0,0,170000,50000,0,0,50000,0,30000,0,0,20000,0
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,577793,50180,50100,50100,50018,50025,50020,30680,30000,31250,30010,50250,1460,1450,1250,1250,1250,1250,500,500,150
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,570146,285771,0,67700,2000,71000,120050,1500,4100,3000,1500,1000,1000,6000,0,0,0,1000,2100,0,100
Seminary,Bachelor of Arts,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,565967,265000,75800,93036,69236,29100,22735,1850,6686,36,36,36,1036,36,36,0,36,0,0,25,62
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,554993,0,0,0,25000,25000,0,0,50000,25000,25000,25000,25000,50000,50000,100000,35000,15000,0,0,50000
College for Women,Bachelor of Arts,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,527909,50000,94500,75000,31360,61500,6000,6000,50000,0,26995,52250,25000,35000,1000,26500,25720,30100,5000,0,0
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,494202,120500,201500,105650,0,360,500,25180,5000,0,10333,5000,0,250,1750,0,500,0,0,2500,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,491393,0,180,180,360,0,4955,108,0,1800,500,11600,180,0,2000,2000,2000,0,4000,14175,7500
College for Women,Bachelor of Arts,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,461195,28400,22200,42590,60180,109360,150360,38000,0,0,500,5500,0,1025,2830,150,0,0,0,0,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,447280,36000,57000,36450,55000,46300,20100,20000,27300,33600,28600,29100,27800,27500,1200,0,1000,0,0,0,0
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,429325,0,10000,0,15000,10000,5500,17000,250075,10000,20750,12000,0,0,5000,10000,30000,0,15000,15000,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,421000,0,20000,25180,31470,10500,5000,250,26200,0,25000,250000,25000,1500,0,0,0,0,180,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,419742,41000,46576,25460,30496,30540,27396,25100,51040,26532,19229,19256,10500,11000,7054,6836,10000,5000,2536,1900,2150
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,417648,19000,36000,25000,19000,500,250,200,29500,25550,1000,26000,1000,25600,11000,28250,26000,26750,2000,26000,0
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,415550,50000,50000,50000,60000,60000,50000,50000,50500,700,500,700,100,0,2500,100,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,401890,2000,19180,18280,18680,18930,18680,18198,26180,25150,25680,27036,29560,29925,34675,6106,9800,11630,1000,6000,5000
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,387992,41000,26576,25460,30496,30540,27396,25100,51040,26532,19229,19256,500,11000,7054,6836,10000,5000,2536,1900,1100
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,381414,50000,59500,0,360,31500,6000,6000,0,0,26500,52250,25000,35000,1000,26500,25720,30100,5000,0,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,380965,0,7200,36000,0,5500,0,0,0,0,329097,1000,0,540,360,230,360,186,61,36,108
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,377075,46330,116700,16760,17100,19960,15360,7350,8090,14500,12730,1480,21075,13655,6890,6100,5025,12025,13025,3025,5000
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,376084,0,0,0,0,400,180,500,750,0,10000,0,0,25000,25000,26800,25000,50000,3750,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,373865,150000,0,0,0,0,3600,0,0,0,0,0,0,0,0,165,25000,10000,0,10000,28000
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,372928,197536,50000,50000,0,53600,3600,8000,0,0,1800,0,1000,1000,0,1000,1000,610,360,180,500
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,364025,0,0,0,0,0,0,0,0,0,0,0,75,12000,0,0,0,0,3500,75000,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,364025,0,0,0,0,0,0,0,0,0,0,0,75,12000,0,0,0,0,3500,75000,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,362184,25000,25000,25000,25000,25500,25000,29971,25028,25898,24787,5000,0,0,0,0,5000,0,5000,6400,7000
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,356127,0,10000,2180,180,1100,0,113800,0,2520,0,100,125090,0,100720,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,349019,23800,3800,20000,30400,56300,26000,62450,0,3636,18500,10600,13200,11600,10000,0,28000,11100,15000,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,340361,25500,50000,35000,0,25000,28360,31980,25000,42500,51800,0,25000,0,0,0,0,0,0,0,0
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,334555,9840,9660,6000,11480,13200,6000,20100,11100,5000,7500,21500,21000,24500,31500,20750,25000,39000,5000,7500,28250
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,332387,45100,44600,40500,0,22450,21225,20700,81731,20450,2930,1000,200,1180,6000,12800,6000,1000,1000,1000,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,321493,4300,102500,7200,2500,22980,4000,4750,7500,5000,15000,10180,10000,10000,5000,15000,150,15000,14000,9000,9000
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,320449,20360,10050,10000,10050,7460,11550,12010,12500,13200,10100,11780,18460,6700,11500,7350,22797,10750,11700,5773,12541
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,317214,0,0,27000,27000,27000,27500,26850,25000,27750,42500,38500,1500,32250,1500,2500,3100,3750,2750,50,255
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,312087,2266,6600,7730,9050,150,23286,37100,52150,12600,25311,38050,640,63326,480,0,120,120,250,100,200
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,305699,0,0,23000,18500,3600,12500,0,12500,15500,15500,30000,20475,75,180,0,0,32800,21223,0,32283
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,302684,15800,7500,6000,2700,3100,5100,8130,15800,13300,10000,25000,17950,20000,30000,16000,25000,20600,30000,16000,5000
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,298275,10000,0,7500,9500,13450,11680,15800,16100,20500,35000,26500,34700,47455,46860,1000,1000,0,3900,500,0
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,289828,15400,12200,15400,13600,12650,11400,10400,10400,10600,11400,7800,9600,9950,8000,10300,7300,5130,10480,11175,6160
Seminary,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,285158,7000,5000,1000,10000,1100,1250,16000,22500,20000,20000,34050,1800,18000,5000,1000,4560,0,100000,150,500
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,283299,0,0,15000,500,3600,12500,0,12500,15500,15500,30000,20725,75,180,10000,6000,32650,21223,0,29783
College for Women,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,276970,0,2700,0,5400,720,0,0,500,3600,2700,2700,2250,0,0,3400,1000,12000,0,0,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,276850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,272998,10000,6500,6000,15600,9300,5000,8300,2150,1770,4720,5700,27250,34425,107600,750,2750,0,0,1000,6965
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,270909,4300,1500,0,500,5600,8800,26500,27857,40120,40300,49486,10800,2000,10000,7143,11789,7000,12143,5000,0
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,268159,2500,1000,0,500,5600,8800,26500,27857,40120,40300,49486,10350,2000,10000,7143,11789,7000,12143,5000,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,268159,2500,1000,0,500,5600,8800,26500,27857,40120,40300,49486,10350,2000,10000,7143,11789,7000,12143,5000,0
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,266452,0,0,0,2500,2500,300,0,5800,6350,5000,7500,3000,2000,8500,17500,17050,0,0,25000,40050
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,260834,20000,25000,20000,20000,20000,20000,19971,20028,20898,19787,0,0,0,0,0,0,0,0,50,0
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,258380,0,0,0,0,0,0,0,0,0,27000,50180,26200,20000,10000,100000,0,7500,7500,10000,0
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,253853,35500,25180,1000,25718,29820,25000,26875,25550,3660,26900,27425,536,0,25,180,0,286,72,36,0
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,251982,6800,6000,25900,37250,0,5100,16000,0,20500,20575,20600,20675,20075,5075,5000,5066,5000,6500,5500,0
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,248828,35860,25180,26000,25118,29370,25000,26875,550,1000,25225,27425,536,0,25,180,0,286,72,36,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,248400,17300,14300,7900,8250,15400,10360,13160,21630,7500,8480,16300,6250,10525,12290,10900,9900,5290,10725,3750,4850
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,240516,70016,30000,20000,35000,18000,15000,10000,8500,5500,5000,5000,3000,3000,2500,2000,1500,1200,1200,1100,1100
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,240324,12210,10800,8780,10390,9620,7390,9680,13180,11155,10775,13480,9780,9700,8630,5500,6100,7850,7100,8000,4500
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,238769,150407,25000,27000,3850,2518,4430,3250,1500,2000,5600,1500,0,0,5000,0,0,100,1550,2100,0
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,233061,200,0,200,0,100,0,0,51000,0,179000,100,0,50,200,0,100,100,75,0,50
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229737,20335,28282,10000,10000,10000,15400,0,48500,36000,7500,7500,0,18000,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,224574,0,0,0,500,4000,360,1610,1025,500,700,960,5072,6050,5000,5300,5000,546,1550,3054,4500
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,224574,0,0,0,500,4000,360,1610,1025,500,700,960,5072,6050,5000,5300,5000,546,1550,3054,4500
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,224070,0,0,0,0,0,0,1000,0,1500,1500,3450,200,2640,0,10600,4300,750,4600,500,2050
College for Women,Bachelor of Arts,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,221030,6000,5000,10000,11720,6800,5360,10250,30250,35000,15500,11050,15000,20600,35000,2160,500,100,118,18,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,221030,6000,5000,10000,11720,6800,5360,10250,30250,35000,15500,11050,15000,20600,35000,2160,500,100,118,18,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,211500,50000,50000,25000,25000,1000,12500,15000,10000,10000,10000,0,0,0,0,0,500,2500,0,0,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,208313,0,0,0,0,0,0,0,0,3600,10000,0,106000,175,3360,0,500,300,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,205405,102640,1360,0,250,500,100,530,100,0,6439,3672,72,10500,6000,5018,5018,6168,6518,7015,7010
